,SampleDate,pH,Location,Temperature,DissolvedOxygen,Conductivity,BiologicalOxygenDemand,TotalSuspendedSolids,EColi,Ammonia,Nitrate
0,2012-06-05,8.47,Big Sioux River @ Bahnson,24.1,8.0,0.003,5.3,76.0,64.0,0.2,2.6
1,2012-06-08,8.5,Big Sioux River @ Bahnson,22.45,7.22,0.0,4.4,64.5,112.0,0.03,2.1
2,2012-06-11,8.38,Big Sioux River @ Bahnson,20.5,7.5,0.0,4.5,55.0,93.0,0.02,1.9
3,2012-06-14,7.61,Big Sioux River @ Bahnson,23.1,7.21,0.0,6.0,69.0,166.0,0.02,2.0
4,2012-06-19,8.69,Big Sioux River @ Bahnson,26.66,8.24,1.091,7.3,41.0,214.0,0.04,1.4
5,2012-06-22,8.45,Big Sioux River @ Bahnson,22.4,7.18,1.032,7.9,51.0,272.0,0.03,0.75
6,2012-06-26,8.42,Big Sioux River @ Bahnson,24.1,7.0,0.08,8.3,56.0,93.0,0.01,0.91
7,2012-06-28,7.71,Big Sioux River @ Bahnson,23.59,8.27,0.004,7.4,51.0,102.0,0.01,0.51
8,2012-07-02,8.3,Big Sioux River @ Bahnson,23.7,8.43,0.004,9.1,67.0,152.0,0.03,0.52
9,2012-07-05,8.37,Big Sioux River @ Bahnson,27.9,7.38,0.023,,44.5,2420.0,0.04,0.041
10,2012-07-10,8.32,Big Sioux River @ Bahnson,24.9,7.1,0.03,7.6,52.0,129.0,0.02,2.3
11,2012-07-13,8.04,Big Sioux River @ Bahnson,24.2,7.34,0.004,5.7,50.0,261.0,0.02,3.2
12,2012-07-17,8.52,Big Sioux River @ Bahnson,26.16,6.25,1.148,6.7,54.0,96.0,0.06,2.7
13,2012-07-25,7.8,Big Sioux River @ Bahnson,28.25,7.26,1.1,6.9,40.5,621.0,0.41,6.6
14,2012-07-27,7.83,Big Sioux River @ Bahnson,25.9,5.12,0.06,2.9,17.0,108.0,1.42,14.0
15,2012-07-29,8.43,Big Sioux River @ Bahnson,26.25,4.88,1.2,3.6,53.0,2420.0,0.12,1.3
16,2012-07-30,8.79,Big Sioux River @ Bahnson,31.9,10.29,1.374,8.1,24.0,,0.02,8.2
17,2012-08-01,8.39,Big Sioux River @ Bahnson,26.81,7.03,1.429,5.9,28.0,297.0,0.13,20.0
18,2012-08-03,8.34,Big Sioux River @ Bahnson,25.3,5.24,1.185,5.9,37.0,387.0,0.04,6.1
19,2012-08-07,8.16,Big Sioux River @ Bahnson,24.9,5.9,1.29,5.5,47.5,249.0,0.03,7.2
20,2012-08-09,8.41,Big Sioux River @ Bahnson,22.35,4.79,1.254,7.2,40.0,238.0,0.09,4.7
21,2012-08-14,8.37,Big Sioux River @ Bahnson,20.12,6.73,1.266,4.6,37.0,184.0,0.06,7.1
22,2012-08-17,8.28,Big Sioux River @ Bahnson,18.7,7.31,1.411,3.4,31.0,55.0,0.04,9.4
